Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Fragile and conflict affected situations,FCS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-0.1852,7.8912,6.4697,5.1925,6.3053,0.8869,-5.7620,6.2098,13.0473,12.2177,7.6403,3.7981,3.9205,11.0002,-0.0890,9.0342,4.9963,-0.1709,6.3292,5.2959,-6.5772,-0.8054,-4.7031,-1.1513,4.2565,-0.1036,1.4992,3.6318,1.0403,5.1660,-5.9934,0.1863,-1.9167,-3.4534,-0.3147,3.4125,4.5410,4.9332,3.1143,5.4639,4.1119,4.7941,1.0756,11.2617,5.8345,5.8212,5.9881,5.0421,3.0654,7.0174,0.0439,5.5704,3.4834,2.0963,1.0705,2.1672,2.5433,2.7202,2.5235,-6.3534,4.5690,1.4634,1.6333
Heavily indebted poor countries (HIPC),HPC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-0.1653,7.2448,3.4007,3.3862,3.9100,3.9225,2.4378,4.5660,4.5063,0.0162,4.5651,2.1634,3.2237,5.2089,2.0492,3.8714,3.6220,2.5439,0.6006,0.6220,2.8623,0.5654,0.3196,1.2399,1.5298,3.1201,3.2972,1.3005,1.5012,-1.0632,0.4459,-1.1271,0.4775,-0.1844,5.0033,5.1294,5.5807,3.5139,3.1355,2.8890,3.6287,3.8108,3.8888,5.6574,5.5691,5.8626,5.4605,5.6415,3.7381,6.1005,4.4620,3.9771,5.6405,5.8459,4.8162,4.4430,5.0035,4.1933,4.4210,0.2363,4.1951,4.7964,4.4118
High income,HIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.4701,5.6061,5.0533,6.3796,5.5196,5.5216,3.8208,5.8946,5.6168,3.0190,3.9712,5.5420,6.3228,1.1538,-0.1999,5.0046,3.9043,4.1736,4.1012,1.2933,1.9305,-0.2503,2.8022,4.6810,3.5404,3.2763,3.5146,4.7107,3.8700,2.6827,0.9029,1.5081,1.0555,2.8827,2.7101,2.8964,3.4776,2.7334,3.5247,4.2591,1.5830,1.6205,2.3052,3.5134,2.9745,3.2203,2.8567,0.6759,-3.3785,3.0483,2.0179,1.4729,1.5980,2.1418,2.3255,1.8330,2.4763,2.3700,1.8458,-3.9147,5.5844,2.6416,1.6442
IBRD only,IBD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.1663,3.1050,4.7367,8.2108,6.1925,5.6305,4.1309,6.3550,7.9001,7.7015,6.1155,6.6597,7.0392,5.7546,4.6835,6.3029,4.6501,4.1026,4.8182,5.0621,2.1866,2.8673,1.7091,4.9077,4.4527,3.8440,4.8670,4.0302,3.2000,1.9459,1.1366,1.5610,3.7031,3.6150,3.9862,5.4786,5.3560,2.6619,3.7456,5.8916,3.6225,4.5722,5.9432,7.6374,7.1845,8.2969,8.9489,5.9054,2.7863,7.8158,6.3812,5.4467,5.2218,4.7927,4.4045,4.5566,5.2417,4.9357,3.9840,-1.4012,7.6285,3.6017,4.4476
IDA & IBRD total,IBT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.1681,3.5487,4.7592,7.6788,5.9230,5.0298,3.1897,6.0299,8.0464,7.7763,6.1520,5.9855,6.6570,5.9675,3.9995,6.1979,4.5739,3.7345,4.6587,4.8776,1.8606,2.5161,1.4104,4.5399,4.4202,3.7534,4.7376,4.1048,3.0950,2.1234,1.2053,1.6141,3.4524,3.3810,3.9513,5.4238,5.2181,2.7286,3.6745,5.7247,3.6572,4.6468,5.8547,7.5570,7.1010,8.1124,8.7021,5.8359,2.9697,7.6831,6.2035,5.2846,5.2233,4.8463,4.3268,4.4550,5.1424,4.8900,3.9791,-1.3554,7.3867,3.6535,4.3632
IDA blend,IDB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.3615,4.3639,7.9621,5.2153,5.7410,-0.2062,-7.8060,2.3552,15.7725,17.9642,10.6141,4.0814,5.7244,8.5560,-1.9945,6.3302,5.2190,-0.4891,5.9344,5.6106,-4.0794,-1.0201,-2.8748,1.7155,6.1406,2.9639,3.9128,6.4239,3.1534,6.5127,2.0329,3.0962,-0.1714,0.9179,2.0419,4.6192,2.0020,2.6989,2.1106,3.7852,4.3584,6.9690,5.0196,7.5819,6.2131,5.8541,5.6143,4.1504,5.9770,5.9336,4.5919,4.3819,5.5152,5.6073,3.7405,2.0873,2.5558,3.8483,2.7707,-1.4157,5.1643,4.2155,2.5263
IDA only,IDX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,7.1546,2.5528,4.6403,3.4528,3.2576,2.0668,5.2065,4.3160,0.8696,2.6700,-0.2318,2.7179,6.1685,1.1785,4.6619,2.8897,2.9633,1.1562,1.4393,3.2824,0.7834,1.0378,1.6034,2.3504,3.0802,3.4957,2.9876,1.3196,1.0824,1.7520,1.1525,2.1792,1.0910,5.1815,5.0784,5.5160,4.1611,3.6848,4.0756,3.7354,4.0484,4.7981,5.8298,6.1643,6.2937,6.2194,5.8761,4.2526,6.4309,3.7867,2.4736,4.9794,5.3633,3.0922,4.3595,5.2561,4.7775,4.9653,-0.2378,3.7892,4.3959,3.9981
IDA total,IDA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.1779,5.9374,4.8771,4.8946,4.4680,1.7021,-2.2799,4.0301,8.9666,8.2423,6.3758,1.8604,4.2081,7.3690,-0.4347,5.4893,4.0541,1.2148,3.5355,3.5631,-0.5145,-0.1131,-0.8717,1.6570,4.1568,3.0244,3.6945,4.7063,2.2518,3.8673,1.8950,2.1439,0.9709,1.0030,3.5872,4.8488,3.7621,3.4437,2.9180,3.9353,4.0342,5.4535,4.9062,6.6857,6.1884,6.0771,5.9219,5.0301,5.0776,6.1909,4.1743,3.3959,5.2408,5.4826,3.4094,3.2444,3.9457,4.3326,3.9194,-0.7930,4.4332,4.3103,3.2963
Late-demographic dividend,LTE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-3.7267,2.9446,4.1285,7.2015,6.6187,7.6896,1.7932,5.2102,9.9461,10.8138,8.5108,7.8744,9.8365,5.0071,4.3167,6.6076,6.3152,6.6388,7.7192,7.3696,0.1914,1.9228,1.7314,7.8266,7.2467,5.8017,6.4331,5.1258,4.7360,0.2207,0.4646,0.7706,4.2945,4.4206,5.6071,5.0779,5.5948,2.8395,4.6219,6.9832,5.1847,5.9831,6.8209,8.1773,7.7405,9.2842,10.2100,6.9216,3.6961,8.0143,7.1857,5.8156,5.6114,5.2256,4.6999,4.4722,5.3040,5.4242,4.6510,0.1999,7.4496,3.1775,4.1900
Latin America & Caribbean,LCN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.1327,4.3120,2.0851,7.2686,5.6813,4.9535,4.3466,7.1134,6.8341,6.5214,6.8761,7.1647,7.9914,6.2422,3.5864,5.4365,4.8698,4.5296,7.3907,6.6370,1.2213,-0.1695,-2.2817,3.8922,3.1318,3.4785,3.3019,0.6102,1.7112,-0.3783,2.9477,2.5707,4.3952,5.2262,0.8286,3.9682,5.3905,2.9798,0.6795,3.6100,0.4533,0.4642,2.4550,5.4358,3.9318,5.1295,5.1818,3.6405,-2.2791,6.3887,4.3955,2.5666,2.7603,1.3365,0.4079,-0.3348,1.8898,1.5717,0.7187,-6.6492,6.9968,3.9879,2.1531
