Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.9002,2.3346,3.4303,3.3964,2.6834,4.2076,6.0545,10.9447,-3.2899,-9.1174,-8.4454,-7.2724,-1.4802,1.8180,2.8620,5.2054,-14.1154,3.7891,-8.3961,4.5872,3.8237,5.8719,5.2372,6.5104,7.0563,6.8026,6.6544,6.1296,-3.3471,1.5554,2.0902,0.7488,-0.5428,0.9494,3.3976,3.0266,2.7459,2.6949,4.0352,-3.9662,7.6617,3.9264,1.8464
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.0439,6.1288,-1.2680,2.2828,3.7645,0.5376,8.8233,3.0708,2.0261,0.1170,1.4133,2.3115,0.4493,8.2864,2.9984,8.5349,0.3704,4.6078,3.6646,0.7969,4.2553,9.5622,0.3460,-1.7787,8.5174,7.9554,-0.2363,5.7956,2.1503,-0.6029,9.0700,0.2327,3.4614,1.3150,5.7164,11.0147,6.3168,7.3077,7.3952,1.8885,6.6134,4.3530,7.8025,4.4785,8.6619,6.2532,4.1114,5.8000,2.9620,8.4463,6.6226,6.4527,5.7926,4.3268,3.9212,5.9580,6.2035,6.6046,5.8892,2.0108,6.9392,1.7779,2.9602
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.7461,9.0632,4.1354,6.2730,3.9672,4.6130,13.8215,-0.2979,-1.4595,21.3257,2.7468,-6.4040,6.8891,-0.7268,0.6979,7.9427,11.4695,-0.9406,1.6650,0.9911,12.1633,-1.0536,3.7153,0.1555,11.7832,3.2502,5.5031,5.0310,1.3495,3.4998,4.9968,1.0100,-6.2400,-3.8300,-7.9200,-8.0000,-1.5900,4.7500,-1.0100,-0.8569,2.0558,4.4465,-1.2237,4.8337,0.9000,5.4138,3.4519,4.8617,3.8127,5.1242,4.0326,4.4467,4.9242,4.2407,-3.9000,-0.6000,0.5000,1.6099,1.8126,0.3272,3.1000,1.8490,2.7000
Cabo Verde,CPV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,8.4516,2.8250,9.5207,3.7833,8.6421,2.8715,4.3091,5.9969,5.6979,0.6922,1.4041,10.9376,8.7083,19.1826,14.2116,11.3465,11.1184,12.5173,11.2226,14.2849,2.2317,5.2509,4.1763,10.1971,6.9125,7.9838,15.1707,7.0390,-1.5036,1.8364,3.9247,1.0836,0.6321,0.6967,0.9360,4.2807,4.5513,3.7070,6.9478,-20.8053,7.0335,17.4391,5.1491
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,0.0000,-14.6764,0.0000,-12.8286,-5.6684,0.0411,0.0000,4.4334,4.9321,4.6702,3.8008,21.5315,11.9769,3.4794,1.1623,7.5913,7.0175,4.0984,-34.8086,9.9035,5.8975,4.0066,4.6816,12.7054,9.9936,8.1484,6.5789,8.5059,10.3405,13.2501,10.7711,10.2126,6.6916,0.0867,5.9631,7.0696,7.3133,7.3567,7.1426,6.9658,6.9333,6.9969,7.4692,7.0541,-3.0960,3.0264,5.2398,5.4000
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.1837,3.0416,3.7426,3.5472,2.0261,4.6150,-10.9121,6.3463,4.9015,3.0921,3.4797,2.6738,5.3557,10.7343,11.2451,-5.4951,13.7399,22.0030,6.0351,-1.9653,17.0827,7.5162,6.8668,7.4746,8.0632,6.7717,-2.1467,-7.8236,-1.8191,-6.1057,-3.8086,-3.1000,-7.9321,1.8768,2.8940,4.2151,4.5273,4.7255,4.5113,3.8324,4.3243,4.4770,5.4532,7.0489,2.2283,3.8096,4.3276,2.8477,2.5793,2.8990,3.3792,4.6260,4.9955,5.7198,5.6670,4.5358,3.5412,3.9555,3.4751,0.2599,3.3389,3.5828,3.9934
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.1633,7.4278,5.2974,6.6560,6.3172,6.7597,3.0654,5.0083,5.0670,2.9187,4.0188,5.5197,6.7286,3.3578,1.5454,5.8893,3.5348,3.7360,3.7252,2.1772,3.4151,-3.1662,2.5623,5.8986,4.7377,2.1215,4.0720,4.4108,2.3373,0.2029,-2.0911,0.8905,2.6577,4.4940,2.6823,1.6890,4.2802,3.8929,5.1410,5.1385,1.8751,2.9993,1.8064,3.0924,3.2105,2.6379,2.0499,0.9954,-2.9151,3.0908,3.1372,1.7557,2.3258,2.8735,0.6500,1.0386,3.0338,2.7430,1.9084,-5.0382,5.2870,3.8199,1.0660
Cayman Islands,CYM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1626,-0.3574,-7.2005,-2.7156,1.1691,1.2298,1.2793,2.6545,2.8331,3.2400,3.1840,4.2673,3.9156,-4.9548,4.9049,5.1563,
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.9536,-3.7138,-0.7070,2.0803,0.9476,0.6448,4.6766,1.4041,7.0915,2.3329,1.1302,-0.0009,1.8889,6.3390,0.4050,5.4325,3.8062,1.2092,-2.4651,-4.4786,-1.5445,7.7158,-8.1265,9.4817,3.9272,3.5780,-4.9390,1.7102,1.9773,-2.1475,-0.5525,-6.4241,0.3353,4.8999,7.2000,-4.0001,5.2999,4.7001,3.6000,-2.4894,4.4647,3.6165,-5.3975,5.9949,0.9082,4.7711,4.6075,2.0541,8.5873,4.6308,4.1946,5.0538,-36.3920,0.0811,4.3371,4.7503,4.5273,3.7894,3.1000,0.9000,0.9829,0.5021,0.8703
Chad,TCD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.3977,5.3601,-1.5995,-2.5109,0.6062,-1.8071,0.7672,-0.4572,6.8813,1.8597,-2.2476,1.1496,-8.3809,4.9619,9.0103,2.9808,2.2346,-0.4696,-21.4411,-6.0477,1.0429,5.3466,15.6787,2.0489,21.7928,-4.0817,-2.3888,15.4824,4.8847,-4.1785,8.5351,8.0014,-15.7098,10.1369,1.2365,2.2145,5.6534,6.9516,-0.6829,-0.8797,11.6581,8.4912,14.7217,33.6294,17.3325,0.6483,3.2715,3.0527,4.2177,13.5501,0.0829,8.8826,5.7000,6.9000,2.7677,-6.2555,-2.9887,2.3740,3.2472,-1.6000,-1.1692,2.8043,4.1223
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5744,2.0664,2.3607,-8.4676,15.4552,7.8052,
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.2453,4.0267,5.8401,2.5572,0.9503,11.2362,3.6160,3.5920,3.9380,1.8290,9.4227,-1.0199,-5.0292,2.3821,-12.9121,3.8326,10.4447,7.7011,8.4183,7.9866,6.5254,-11.0143,-5.0174,4.1037,4.0099,5.3777,6.4605,7.3451,9.9234,3.3336,7.8044,11.1667,6.5888,5.0302,8.9333,6.8029,7.3917,4.1809,-0.2736,4.9716,3.1540,3.2028,4.7232,6.6743,5.8370,6.0500,5.1682,3.7894,-1.1180,5.8517,6.2239,6.1553,3.3085,1.7926,2.1519,1.7530,1.3577,3.9900,0.6344,-6.1435,11.3340,2.0587,0.2188
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-27.2700,-5.5800,10.3000,18.1800,16.9500,10.6500,-5.7700,-4.1000,16.9400,19.3000,7.0600,3.8100,7.7600,2.3100,8.7200,-1.5700,7.5700,11.3260,7.5913,7.8341,5.1128,9.0171,10.7702,15.1915,13.4307,8.9500,11.6574,11.2226,4.2063,3.9203,9.2628,14.2245,13.8837,13.0368,10.9540,9.9226,9.2368,7.8460,7.6617,8.4901,8.3357,9.1336,10.0380,10.1136,11.3946,12.7210,14.2309,9.6507,9.3987,10.6359,9.5508,7.8637,7.7662,7.4258,7.0413,6.8488,6.9472,6.7498,5.9505,2.2386,8.4485,2.9891,5.2000
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.0892,5.4119,3.2867,6.1669,3.6000,5.2367,4.1349,5.9331,6.1025,6.2078,5.9607,7.6691,6.7230,5.7458,2.3233,4.7284,4.1585,8.4699,5.3791,4.0874,2.2769,0.9484,1.5740,3.3507,3.1071,5.8241,5.3689,4.0642,3.4141,4.2820,2.0016,4.0449,5.3854,5.8147,5.2024,2.0559,3.4303,0.5698,-4.2040,2.9249,1.6779,2.5040,3.9183,5.3330,4.8288,6.7169,6.7382,3.2834,1.1396,4.4947,6.9479,3.9126,5.1340,4.4990,2.9559,2.0874,1.3594,2.5643,3.1869,-7.1859,10.8012,7.2889,0.6122
Comoros,COM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,3.8649,6.3833,4.8214,4.1103,2.2800,1.8676,1.6378,2.6874,-3.1803,5.0912,-5.3956,8.5310,3.0061,-5.2768,3.6102,-1.2917,4.0302,1.2825,1.9244,10.8479,2.3329,2.3249,2.1039,1.9197,2.8375,2.6470,0.8000,3.9646,3.2407,3.7778,4.1435,3.1684,4.4662,2.1067,1.1474,3.3204,3.8158,3.6425,1.7608,-0.1956,2.1122,2.3877,2.7011
"Congo, Dem. Rep.",COD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-10.8514,21.2007,5.2140,-2.4402,0.9973,6.7755,-0.9857,4.3327,9.3288,-0.2451,6.0050,0.1511,8.1373,3.1306,-4.9816,-5.3090,0.7608,-5.3453,0.4301,2.1949,2.3505,-0.4577,1.4117,5.5411,0.4679,4.7172,2.6756,0.4704,-1.2661,-6.5683,-8.4211,-10.5000,-13.4691,-3.9000,0.7000,-1.0232,-5.6170,-1.6242,-4.2701,-6.9109,-2.1002,2.9478,5.5778,6.7384,6.1352,5.3210,6.2595,6.2259,2.8551,7.1080,6.8747,7.0869,8.4820,9.4703,6.9162,2.3994,3.7269,5.8211,4.3845,1.7354,6.2002,8.9244,8.5609
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,8.3507,5.2023,-4.0293,3.8168,3.6765,1.3590,2.1163,7.6313,7.5485,6.3585,7.7530,8.6176,8.2312,7.8855,7.7316,0.9163,-8.9534,6.3597,9.8132,17.6366,17.6197,23.5977,5.8540,6.9761,-1.1857,-6.8615,0.1894,1.7663,2.5999,1.0000,2.3954,2.6119,-0.9797,-5.4931,3.9853,4.2905,-0.6248,3.7376,-2.5822,7.5760,3.8026,4.5819,0.8133,3.4766,7.7558,7.9862,-6.6140,6.3064,11.6373,9.9313,2.2059,9.9472,-0.7124,6.6461,0.4152,-8.6852,-5.5948,-2.3043,1.1245,-6.2678,1.0151,1.4754,1.9069
Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.8793,5.4424,6.8989,3.6590,8.1905,6.9693,5.6501,8.4733,5.4918,7.5031,6.7785,8.1780,7.7089,5.5449,2.1001,5.5176,8.9045,6.2677,4.9391,0.7519,-2.2617,-7.2856,2.8630,8.0241,0.7216,5.5363,4.7645,3.4321,5.6660,3.5531,2.2657,9.2011,7.0972,4.5190,4.1540,1.3505,5.4762,7.1553,4.2148,3.8687,3.4912,3.4169,4.3172,4.4246,3.9767,7.3267,8.2151,4.7382,-0.8735,5.3603,4.4032,4.8826,2.4948,3.5421,3.6521,4.2043,4.1577,2.6159,2.4175,-4.2734,7.9358,4.5515,5.1119
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,9.9326,1.2270,14.4904,17.6131,-3.1097,11.5774,4.5982,12.5482,9.5392,10.3750,9.4566,4.2366,5.9392,4.3274,8.2529,12.9164,7.3145,10.9095,2.3944,-10.9577,3.5005,0.2008,-3.9002,-2.7013,4.5012,3.2593,-0.3490,1.1365,2.9480,-1.0959,0.0409,-0.2446,-0.1925,0.8112,7.1257,7.7293,9.6488,4.2639,1.1669,-0.2658,-2.1540,-2.7305,-4.7259,3.1850,0.9961,2.8156,1.1014,4.7827,3.6033,6.8480,-5.3704,7.6204,10.7602,9.3720,7.1949,7.1728,7.4108,4.8431,6.7214,0.6997,7.0633,6.2179,6.5359
Croatia,HRV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0887,-11.7133,-8.0256,5.8705,6.7585,6.0473,6.1694,2.2470,-0.8559,2.9563,3.1209,5.8206,5.5996,4.1799,4.3075,5.0768,5.0750,2.0195,-7.2151,-1.2249,-0.0582,-2.2983,-0.3068,-0.3417,2.5491,3.6492,3.3648,2.9834,3.4427,-8.5204,13.0411,7.0272,3.0609
Cuba,CUB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,8.5839,4.8267,3.4345,0.9845,9.4764,5.4280,8.7095,6.5960,1.0882,-4.8494,19.6883,8.9182,5.4115,7.9297,1.5967,0.0953,-2.4022,3.7055,0.6801,-2.9486,-10.6927,-11.5806,-14.8782,0.7169,2.4572,7.8387,2.7834,0.1591,6.1888,5.9148,3.1850,1.4248,3.7927,5.7705,11.2017,12.0659,7.2621,4.1168,1.4513,2.3904,2.8023,3.0149,2.7476,1.0476,4.4383,0.5128,1.8098,2.2479,-0.1631,-10.9491,1.2537,1.7749,
Curacao,CUW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6958,0.3971,0.2882,0.2085,0.6764,1.6359,2.4700,2.1880,-0.5313,0.0823,0.5085,-0.3490,-0.6357,-0.6374,0.4582,-1.0677,-1.2762,-2.1041,-3.2061,-18.0385,4.2000,7.9000,
Cyprus,CYP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,20.2663,16.3620,7.7774,9.9056,5.7532,2.5170,6.0217,5.5822,8.7579,4.8825,3.7040,7.0653,8.6468,7.9474,7.4040,0.7395,9.4000,0.7000,5.9000,8.3625,1.2486,2.6409,6.1108,4.9980,5.9653,3.9526,3.7230,2.6233,5.0263,4.8530,4.7138,5.0981,3.6468,-2.0153,2.2835,0.4167,-3.4474,-6.5875,-1.7761,3.4189,6.5736,5.7335,5.6477,5.5373,-3.4436,9.9113,5.0581,2.4669
Czechia,CZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.6149,-0.5065,0.0619,2.9093,6.5008,4.2654,-0.5183,-0.3566,1.3841,4.0010,3.0430,1.5699,3.5837,4.8143,6.6016,6.7669,5.5703,2.6864,-4.6573,2.4349,1.7604,-0.7850,-0.0459,2.2621,5.3884,2.5373,5.1687,3.2201,3.0299,-5.5030,3.5530,2.3510,-0.3115
Denmark,DNK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.3788,5.6668,0.6370,9.2699,4.5553,2.7409,5.5304,5.5531,6.5092,1.5968,3.0050,3.9294,4.0929,-1.1224,-1.4566,5.9246,1.8703,2.2263,3.8691,-0.4830,-0.6661,3.6846,2.5961,4.1661,4.0038,4.9042,0.2543,-0.0136,0.6452,1.4752,1.3936,1.9570,0.0107,5.3325,3.0276,2.9001,3.2609,2.2182,2.9480,3.7469,0.8232,0.4663,0.3901,2.6682,2.3366,3.9130,0.9092,-0.5120,-4.9065,1.8710,1.3368,0.2265,0.9333,1.6194,2.3426,3.2460,2.8217,1.9895,1.4935,-2.4245,6.8445,2.7312,1.8896
Djibouti,DJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0615,7.5261,7.1234,5.4581,4.7744,5.5451,1.3164,4.5223,3.7286,6.6766
Dominica,DMA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,10.5357,-18.3593,13.3832,10.8293,4.1277,2.5563,4.1966,1.4209,7.0734,6.3076,7.8166,-0.1911,5.4180,1.3478,2.0294,2.1614,0.0345,3.0309,3.1042,2.1856,3.7742,0.3541,2.3402,-0.0638,-2.8280,6.3531,3.0507,0.6559,4.6595,6.3530,7.1211,-1.1696,0.6726,-0.2236,-1.0590,-0.9999,4.7538,-2.7315,2.7636,-6.6190,3.5476,5.5025,-16.6041,6.8905,5.5835,4.7122
Dominican Republic,DOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-2.3132,17.0472,6.5029,6.7649,-12.4818,13.4633,3.3275,0.2389,10.8914,18.2267,10.8715,10.3942,12.8958,6.0019,5.1933,6.7281,4.9818,2.1407,4.5314,7.9687,4.2799,1.6987,4.6279,1.2529,-2.1225,3.5220,10.1174,2.1560,4.4005,-5.4543,0.9441,11.2209,7.3645,2.6004,5.6854,5.9778,8.8853,6.7145,5.9400,4.6618,2.4595,4.4951,-1.3457,2.5701,9.4282,9.1744,7.4160,3.2095,0.9462,8.3397,3.1334,2.7174,4.8752,7.0505,6.9270,6.6592,4.6667,6.9825,5.0522,-6.7202,12.2720,4.8583,2.3606
Ecuador,ECU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.1244,4.9191,2.1064,7.4072,3.2751,-0.3395,4.6211,1.9094,4.6692,6.8719,6.2926,5.0176,13.9507,11.2085,10.9722,7.3972,1.6048,5.7068,3.7340,3.7087,5.6129,0.6148,-0.3369,2.6253,3.9350,3.4648,-0.2591,5.8905,1.0058,3.6799,4.2913,2.1143,1.9732,4.2583,2.2525,1.7317,4.3279,3.2665,-4.7394,1.0918,4.2063,4.9281,2.8845,6.8324,5.3986,4.3411,1.9024,6.5649,1.0910,4.0291,8.4815,5.7832,7.2112,4.2261,0.1197,-0.6880,5.9704,1.0443,0.1654,-9.2451,9.8184,6.1861,2.3552
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.1611,3.8756,10.5181,11.5076,4.9140,5.0464,0.8053,-1.6068,5.2795,5.5985,4.0573,3.0557,3.5068,1.5589,8.9391,13.2797,9.0030,8.6288,4.5477,10.0113,7.3486,9.9072,5.0944,9.7458,5.7915,4.7445,3.8328,5.4613,4.9209,5.6670,1.1254,4.4729,2.9008,3.9732,4.6425,4.9887,5.4924,5.5755,6.0534,6.3700,3.5353,2.3902,3.1935,4.0921,4.4717,6.8438,7.0878,7.1563,4.6736,5.1472,1.7646,2.2262,2.1855,2.9159,4.3720,4.3466,4.1812,5.3311,5.5521,3.5502,3.2906,6.5878,3.7590
El Salvador,SLV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,7.1611,5.4368,3.2367,3.4854,2.9773,3.8583,6.1175,4.8617,5.3360,2.9235,5.0493,6.7801,5.3228,-4.1803,-15.8369,-5.7210,-6.3085,1.5390,1.3353,0.6143,0.1947,2.5082,1.8782,0.9641,4.8329,1.4941,7.0220,5.8183,4.6921,4.7341,0.8115,3.1380,2.6523,2.1620,1.1279,0.8796,1.5729,1.5654,0.8894,2.6808,4.3370,1.8476,2.1544,-2.1088,2.1542,3.7736,2.8877,2.1830,1.7294,2.4000,2.5391,2.2476,2.4124,2.4375,-7.8931,11.9048,2.7996,3.5110
Equatorial Guinea,GNQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.7694,2.2017,5.0044,1.0114,12.9052,-2.3306,4.4367,2.6553,-1.2292,-1.7586,-1.0222,34.7453,11.0332,16.6688,17.4863,66.5800,149.9730,23.7745,25.6640,18.2138,63.3799,19.4628,13.9553,37.9987,16.7487,7.7049,15.2821,17.7991,1.3434,-8.9242,6.5239,8.3129,-4.1332,0.4151,-9.1100,-8.8164,-5.6675,-6.2365,-5.4818,-4.7911,0.8603,3.7160,-5.6916
Eritrea,ERI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4548,21.2214,2.8584,9.2588,7.9087,1.7726,0.0135,-3.1420,8.7554,3.0054,-2.6555,1.4517,2.5744,-0.9692,1.4268,-9.7830,3.8765,2.1942,8.6798,,,,,,,,,,,,
Estonia,EST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.9998,-21.1687,-5.7405,-1.6424,4.5267,4.9430,13.0500,4.3398,-0.4250,10.0876,6.0037,6.7714,7.6003,6.8040,9.5264,9.7656,7.5791,-5.1320,-14.6291,2.4443,7.2631,3.2282,1.4584,3.0114,1.8530,3.1556,5.7920,3.7842,4.0337,-0.9654,7.2493,-0.4610,-3.0056
Eswatini,SWZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,13.7436,5.4243,9.0187,5.7435,13.9084,-2.1194,1.0096,1.3271,3.1069,12.4491,14.6414,1.1726,1.2024,6.1618,3.7924,12.2645,14.6066,6.5698,12.9111,21.0180,1.7604,3.2262,3.1061,2.4007,4.8257,3.8421,3.1028,2.6040,2.9509,1.7602,1.0548,4.3801,3.8802,3.6239,5.9988,5.9922,4.4354,0.8217,1.5650,3.7938,2.2472,5.3966,3.8612,0.9232,2.2275,1.0626,2.0266,2.3801,2.6922,-1.5596,10.6837,0.4758,4.8423
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,4.3261,4.5186,4.0905,5.7719,7.2566,4.0616,4.1422,1.3887,3.4827,6.5265,4.2272,5.1099,3.2737,1.2461,0.1488,2.7257,2.7400,-1.1008,6.4242,4.3815,0.9160,8.2350,-2.8480,-11.1444,9.6616,13.8593,0.5037,-0.3610,2.7265,-7.1375,-8.6725,13.1428,3.1900,6.1275,12.4262,3.1339,-3.4581,5.1621,6.0732,8.3013,1.5147,-2.1614,13.5726,11.8188,10.8347,11.4562,10.7885,8.8026,12.5505,11.1783,8.6478,10.5823,10.2575,10.3925,9.4335,9.5642,6.8161,8.3641,6.0595,5.6415,5.3212,6.4981
Faroe Islands,FRO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3030,-0.5769,3.7082,7.0167,5.8531,5.4327,0.9764,1.4699,3.5143,2.7316,4.3901,-1.9268,5.7556,5.3985,
Fiji,FJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.5176,3.6061,6.3588,4.8773,-2.7003,0.0000,13.3518,7.9162,2.5964,12.7027,6.8890,7.4853,11.6129,2.6011,0.5302,2.7362,5.9040,1.8634,12.2248,-1.6035,6.3300,-5.9785,-3.9601,8.3930,-4.6135,7.7499,-6.6150,0.9558,7.4386,5.8000,-2.7000,6.1000,2.1300,5.1000,2.5000,4.8000,-2.2000,1.3000,8.8000,-1.7000,2.0000,3.2000,1.0000,5.3000,0.7000,1.8525,-0.8507,1.0328,-1.3860,2.9547,2.7051,1.4113,4.7342,5.6035,4.5012,2.4457,5.3534,3.8124,-0.5805,-17.0399,-4.8810,20.0165,8.0264
Finland,FIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.6047,2.9819,3.2851,5.2387,5.3029,2.3728,2.1688,2.3033,9.5933,7.4704,2.3569,7.7355,6.9838,3.2365,1.8049,0.3444,0.2395,2.9197,7.1219,5.3890,1.3159,3.1081,3.1166,3.2377,3.5489,2.7556,3.5748,5.2172,5.0871,0.6703,-5.8863,-3.2947,-0.6620,3.9631,4.2169,3.6672,6.3338,5.4572,4.3796,5.7734,2.6100,1.7071,2.0038,3.9921,2.7799,4.0274,5.2993,0.7840,-8.0744,3.1860,2.5477,-1.3975,-0.9017,-0.3649,0.5437,2.8115,3.1924,1.1397,1.2247,-2.3550,2.8382,1.3355,-1.0354
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.9801,6.8435,6.2337,6.6521,4.8615,5.2518,4.9211,4.4913,7.1095,6.1087,5.3168,4.5114,6.3445,4.3009,-0.9599,4.3568,3.4643,3.9785,3.5500,1.5787,1.0690,2.5054,1.2409,1.5137,1.6228,2.3373,2.5619,4.7431,4.3439,2.9239,1.0482,1.5993,-0.6287,2.3584,2.1066,1.4130,2.3363,3.5887,3.4214,3.9237,1.9837,1.1355,0.8232,2.8298,1.6632,2.4493,2.4247,0.2549,-2.8733,1.9494,2.1927,0.3131,0.5763,0.9562,1.1129,1.0955,2.2914,1.8651,1.8430,-7.5405,6.4352,2.4548,0.7037
French Polynesia,PYF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,9.5766,-4.7392,14.9308,-2.6859,1.6267,12.0024,-4.6951,7.8026,18.0010,-4.9027,8.2036,2.0790,9.8926,3.9259,0.4849,2.6460,1.6986,2.4197,2.3603,-1.1708,13.5478,1.2698,-3.5986,2.1579,0.1299,3.6555,-1.4574,-1.2977,-1.6663,-0.3890,-0.6685,-0.1228,1.7334,1.8905,3.2454,-0.3416,0.8462,2.1269,0.9713,0.3100,0.8896,1.7050,0.0068,-4.2314,-2.4661,-2.9620,-0.9275,0.3988,0.5936,1.6651,2.3696,4.3745,1.8320,2.6999,-7.0510,2.0948,4.4661,
Gabon,GAB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,14.7668,7.4492,6.0924,4.5545,8.3333,4.5080,4.1152,2.5088,8.0829,8.6793,10.2587,11.3370,10.1824,39.4871,19.1901,35.6253,-12.5821,-24.0492,0.4744,2.5529,5.0953,-3.0975,5.6082,7.5089,-2.3329,-0.8036,-17.1460,12.8454,8.5453,5.1922,6.1125,-3.0901,3.9466,3.7128,4.9738,3.6250,5.7384,3.4778,-8.9326,-1.8830,2.1352,-0.2490,2.2473,0.6895,2.6762,-2.8066,6.0081,-3.3084,0.1303,7.0899,7.0918,5.2511,5.6387,4.3150,3.8789,2.0914,0.4726,0.8379,3.9208,-1.8378,1.4680,2.9677,2.2632
"Gambia, The",GMB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,0.0000,9.5761,2.4355,6.1538,-0.0659,0.2417,9.2503,5.8788,12.3934,7.3512,3.4396,6.3164,-1.3282,6.2701,3.3219,-0.7646,10.8832,3.5353,-0.8123,4.0911,2.4543,4.4768,5.8957,3.5589,3.1070,3.3787,3.0121,0.1543,0.8818,2.2235,4.9000,3.5000,6.4000,5.5000,5.8000,-3.2500,6.8700,7.0500,-2.3517,-0.5556,3.0432,6.2559,6.6657,5.9083,-8.1304,5.2416,2.8728,-1.4074,4.0581,1.9434,4.8226,7.2349,6.2221,0.5915,5.2560,4.9178,5.2960
